block_id,route_id,direction_id,trip_headsign,shape_id,service_id,trip_id,trip_short_name
a_76476,2966,0,,12136,3_merged_228525,221540,
a_76477,2966,1,,12137,3_merged_228525,221541,
a_76477,2966,1,,12137,3_merged_228525,221542,
a_0,2967,0,,12139,1_merged_228524,221543,
a_0,2967,0,,12138,1_merged_228524,221544,
a_0,2967,0,,12138,1_merged_228524,221545,
a_0,2967,0,,12138,1_merged_228524,221546,
a_0,2967,0,,12138,1_merged_228524,221547,
a_0,2967,0,,12138,1_merged_228524,221548,
a_0,2967,0,,12138,1_merged_228524,221549,
b_76595,2996,0,,12264,3_merged_228528,224628,
a_76460,2958,1,,12099,1_merged_228524,221144,
a_76461,2958,1,,12099,1_merged_228524,221145,
a_76459,2958,1,,12099,1_merged_228524,221146,
a_76460,2958,1,,12099,1_merged_228524,221147,
a_76459,2958,1,,12099,1_merged_228524,221140,
a_76460,2958,1,,12099,1_merged_228524,221141,
a_76461,2958,1,,12099,1_merged_228524,221142,
a_76459,2958,1,,12099,1_merged_228524,221143,
a_76614,2954,0,,12084,3_merged_228525,220763,
a_76615,2954,0,,12083,3_merged_228525,220762,
a_76614,2954,0,,12085,3_merged_228525,220761,
a_76615,2954,0,,12085,3_merged_228525,220760,
a_76614,2954,0,,12083,3_merged_228525,220767,
a_76615,2954,0,,12084,3_merged_228525,220766,
a_76614,2954,0,,12084,3_merged_228525,220765,
a_76615,2954,0,,12084,3_merged_228525,220764,
a_76398,2944,0,,12035,3_merged_228525,218962,
a_76399,2944,0,,12035,3_merged_228525,218963,
a_76403,2944,0,,12035,3_merged_228525,218960,
a_76404,2944,0,,12035,3_merged_228525,218961,
a_76403,2944,0,,12035,3_merged_228525,218966,
a_76404,2944,0,,12035,3_merged_228525,218967,
a_76401,2944,0,,12035,3_merged_228525,218964,
a_76402,2944,0,,12035,3_merged_228525,218965,
a_76398,2944,0,,12035,3_merged_228525,218968,
a_76399,2944,0,,12035,3_merged_228525,218969,
b_76862,3014,1,,12555,3_merged_228528,228439,
b_76862,3014,1,,12555,3_merged_228528,228438,
b_76593,2996,1,,12269,3_merged_228528,224638,
b_76527,2996,0,,12264,2_merged_228529,225666,
b_76685,2994,1,,12257,2_merged_228529,224330,
b_76686,2994,1,,12257,2_merged_228529,224331,
b_76685,2994,1,,12257,2_merged_228529,224332,
b_76686,2994,1,,12257,2_merged_228529,224333,
b_76685,2994,1,,12257,2_merged_228529,224334,
b_76570,2994,0,,12256,3_merged_228528,224335,
b_76683,2970,1,,12154,2_merged_228529,221788,
b_76683,2970,1,,12154,2_merged_228529,221789,
b_76683,2970,1,,12154,2_merged_228529,221786,
b_76683,2970,1,,12154,2_merged_228529,221787,
b_76683,2970,1,,12154,2_merged_228529,221784,
b_76683,2970,1,,12154,2_merged_228529,221785,
b_76683,2970,1,,12154,2_merged_228529,221782,
b_76683,2970,1,,12154,2_merged_228529,221783,
b_76683,2970,1,,12154,2_merged_228529,221780,
b_76683,2970,1,,12154,2_merged_228529,221781,
b_76568,2994,0,,12255,1_merged_228527,224275,
b_76486,3002,1,,12295,3_merged_228528,224936,
b_76482,3002,1,,12295,3_merged_228528,224937,
b_76487,3002,1,,12295,3_merged_228528,224934,
b_76482,3002,1,,12295,3_merged_228528,224935,
b_76486,3002,1,,12295,3_merged_228528,224932,
b_76484,3002,1,,12295,3_merged_228528,224933,
b_76483,3002,1,,12298,3_merged_228528,224930,
b_76485,3002,1,,12298,3_merged_228528,224931,
b_76686,3007,0,,12316,2_merged_228529,225117,
b_76568,2994,1,,12257,1_merged_228527,224299,
b_76485,3002,1,,12295,3_merged_228528,224938,
b_76482,3002,1,,12295,3_merged_228528,224939,
b_76587,2995,0,,12260,1_merged_228527,224502,
b_76501,2994,1,,12257,1_merged_228527,224298,
b_76578,2994,0,,12255,3_merged_228528,224411,
b_76498,2974,0,,12164,1_merged_228527,221962,
b_76579,2994,1,,12257,3_merged_228528,224424,
b_76497,2973,0,,12163,3_merged_228528,221960,
b_76498,2974,0,,12164,1_merged_228527,221961,
b_76498,2974,0,,12164,1_merged_228527,221966,
b_76498,2974,0,,12164,1_merged_228527,221967,
b_76498,2974,0,,12164,1_merged_228527,221964,
b_76578,2994,1,,12257,3_merged_228528,224425,
b_76498,2974,0,,12164,1_merged_228527,221968,
b_76498,2974,0,,12164,1_merged_228527,221969,
a_76616,2954,0,,12081,3_merged_228525,220769,
a_76615,2954,0,,12083,3_merged_228525,220768,
b_76574,2994,1,,12257,3_merged_228528,224420,
b_76503,3006,0,,12309,1_merged_228527,225039,
b_76575,2994,1,,12257,3_merged_228528,224421,
b_76576,2994,1,,12257,3_merged_228528,224422,
b_76491,2983,0,,12207,3_merged_228528,222499,
b_76490,2983,0,,12207,3_merged_228528,222498,
b_76491,2983,0,,12207,3_merged_228528,222497,
b_76490,2983,0,,12207,3_merged_228528,222496,
b_76491,2983,0,,12207,3_merged_228528,222495,
b_76577,2994,1,,12257,3_merged_228528,224423,
b_76491,2983,0,,12207,3_merged_228528,222493,
a_76387,2940,0,,12009,3_merged_228525,218777,
b_76491,2983,0,,12207,3_merged_228528,222491,
b_76540,2983,0,,12208,3_merged_228528,222490,
b_76596,2996,0,,12265,3_merged_228528,224620,
a_76461,2958,1,,12099,1_merged_228524,221148,
b_76503,3006,0,,12309,1_merged_228527,225041,
a_76459,2958,1,,12099,1_merged_228524,221149,
a_76349,2932,1,,11990,2_merged_228526,218377,
a_76350,2932,1,,11990,2_merged_228526,218376,
a_76349,2932,1,,11990,2_merged_228526,218375,
a_76350,2932,1,,11990,2_merged_228526,218374,
a_76349,2932,1,,11990,2_merged_228526,218373,
a_76349,2932,0,,11986,2_merged_228526,218372,
a_76350,2932,0,,11986,2_merged_228526,218371,
a_76349,2932,0,,11986,2_merged_228526,218370,
b_76548,2996,0,,12264,3_merged_228528,224621,
b_76580,2994,0,,12255,3_merged_228528,224382,
a_76349,2932,1,,11990,2_merged_228526,218379,
a_76350,2932,1,,11990,2_merged_228526,218378,
a_76424,2948,0,,12062,3_merged_228525,219235,
a_76361,2948,0,,12062,3_merged_228525,219234,
a_76361,2948,0,,12062,3_merged_228525,219237,
a_76423,2948,0,,12062,3_merged_228525,219236,
a_76423,2948,0,,12062,3_merged_228525,219231,
a_76424,2948,0,,12062,3_merged_228525,219230,
a_76361,2948,0,,12062,3_merged_228525,219233,
a_76423,2948,0,,12062,3_merged_228525,219232,
b_76516,2978,0,,12176,1_merged_228527,222141,
b_76516,2978,0,,12176,1_merged_228527,222140,
b_76516,2978,0,,12176,1_merged_228527,222143,
b_76516,2978,0,,12176,1_merged_228527,222142,
a_76423,2948,0,,12062,3_merged_228525,219239,
a_76423,2948,0,,12062,3_merged_228525,219238,
b_76516,2978,0,,12176,1_merged_228527,222147,
b_76516,2978,0,,12176,1_merged_228527,222146,
b_0,3005,1,,12308,3_merged_228528,225015,
b_76558,2992,0,,12252,3_merged_228528,224085,
a_76370,2956,1,,12090,1_merged_228524,220891,
a_76438,2956,1,,12090,1_merged_228524,220890,
a_76371,2956,1,,12090,1_merged_228524,220893,
a_76437,2956,1,,12090,1_merged_228524,220892,
a_76370,2956,1,,12090,1_merged_228524,220895,
a_76438,2956,1,,12090,1_merged_228524,220894,
a_76371,2956,1,,12090,1_merged_228524,220897,
a_76437,2956,1,,12090,1_merged_228524,220896,
a_76370,2956,1,,12090,1_merged_228524,220899,
a_76438,2956,1,,12090,1_merged_228524,220898,
b_0,3005,0,,12305,3_merged_228528,225011,
a_76388,2940,0,,12009,3_merged_228525,218766,
b_76571,2994,0,,12255,3_merged_228528,224401,
b_76590,2996,1,,12266,1_merged_228527,224547,
