service_id,start_date,end_date,monday,tuesday,wednesday,thursday,friday,saturday,sunday
JU2015-hjum1501-Weekday-01,20150622,20150828,1,1,1,1,1,0,0
JU2015-hjut1501-Weekday-01,20150625,20150827,1,1,1,1,1,0,0
JU2015-hjut1501-Weekday-01-0001000,20150625,20150827,0,0,0,1,0,0,0
SE2015-hsep1507-Sunday-01,20150830,20160110,0,0,0,0,0,0,1
JU2015-hjun1507-Sunday-01,20150621,20150823,0,0,0,0,0,0,1
SE2015-hsem1507-Sunday-01,20150830,20160110,0,0,0,0,0,0,1
SE2015-hset1501-Weekday-01-0001000,20150903,20160114,0,0,0,1,0,0,0
SE2015-hset1501-Weekday-01,20150903,20160114,1,1,1,1,1,0,0
SE2015-hsem1501-Weekday-01,20150831,20160115,1,1,1,1,1,0,0
SE2015-hsef1501-Weekday-01,20150904,20160115,1,1,1,1,1,0,0
SE2015-hsep1501-Weekday-01,20150831,20160115,1,1,1,1,1,0,0
JU2015-hjun1506-Saturday-01,20150620,20150822,0,0,0,0,0,1,0
SE2015-hsef1501-Weekday-01-0000100,20150904,20160115,0,0,0,0,1,0,0
JU2015-hjun1501-Weekday-01,20150622,20150828,1,1,1,1,1,0,0
JU2015-hjum1507-Sunday-01,20150621,20150823,0,0,0,0,0,0,1
SE2015-hsem1506-Saturday-01,20150829,20160109,0,0,0,0,0,1,0
SE2015-hsep1506-Saturday-01,20150829,20160109,0,0,0,0,0,1,0
JU2015-hjum1506-Saturday-01,20150620,20150822,0,0,0,0,0,1,0
