service_id,date,exception_type
JU2015-hjum1501-Weekday-01,20150810,2
JU2015-hjut1501-Weekday-01,20150715,2
JU2015-hjut1501-Weekday-01,20150731,2
JU2015-hjut1501-Weekday-01,20150713,2
JU2015-hjut1501-Weekday-01,20150630,2
JU2015-hjut1501-Weekday-01,20150721,2
JU2015-hjut1501-Weekday-01,20150720,2
JU2015-hjut1501-Weekday-01,20150722,2
JU2015-hjut1501-Weekday-01,20150826,2
JU2015-hjut1501-Weekday-01,20150724,2
JU2015-hjut1501-Weekday-01,20150727,2
JU2015-hjut1501-Weekday-01,20150825,2
JU2015-hjut1501-Weekday-01,20150729,2
JU2015-hjut1501-Weekday-01,20150728,2
JU2015-hjut1501-Weekday-01,20150701,2
JU2015-hjut1501-Weekday-01,20150807,2
JU2015-hjut1501-Weekday-01,20150707,2
JU2015-hjut1501-Weekday-01,20150708,2
JU2015-hjut1501-Weekday-01,20150803,2
JU2015-hjut1501-Weekday-01,20150710,2
JU2015-hjut1501-Weekday-01,20150824,2
JU2015-hjut1501-Weekday-01,20150804,2
JU2015-hjut1501-Weekday-01,20150703,2
JU2015-hjut1501-Weekday-01,20150805,2
JU2015-hjut1501-Weekday-01,20150814,2
JU2015-hjut1501-Weekday-01,20150629,2
JU2015-hjut1501-Weekday-01,20150626,2
JU2015-hjut1501-Weekday-01,20150706,2
JU2015-hjut1501-Weekday-01,20150821,2
JU2015-hjut1501-Weekday-01,20150819,2
JU2015-hjut1501-Weekday-01,20150818,2
JU2015-hjut1501-Weekday-01,20150817,2
JU2015-hjut1501-Weekday-01,20150810,2
JU2015-hjut1501-Weekday-01,20150714,2
JU2015-hjut1501-Weekday-01,20150812,2
JU2015-hjut1501-Weekday-01,20150811,2
JU2015-hjut1501-Weekday-01,20150717,2
JU2015-hjut1501-Weekday-01-0001000,20150715,2
JU2015-hjut1501-Weekday-01-0001000,20150731,2
JU2015-hjut1501-Weekday-01-0001000,20150713,2
JU2015-hjut1501-Weekday-01-0001000,20150630,2
JU2015-hjut1501-Weekday-01-0001000,20150721,2
JU2015-hjut1501-Weekday-01-0001000,20150720,2
JU2015-hjut1501-Weekday-01-0001000,20150722,2
JU2015-hjut1501-Weekday-01-0001000,20150826,2
JU2015-hjut1501-Weekday-01-0001000,20150724,2
JU2015-hjut1501-Weekday-01-0001000,20150727,2
JU2015-hjut1501-Weekday-01-0001000,20150825,2
JU2015-hjut1501-Weekday-01-0001000,20150729,2
JU2015-hjut1501-Weekday-01-0001000,20150728,2
JU2015-hjut1501-Weekday-01-0001000,20150701,2
JU2015-hjut1501-Weekday-01-0001000,20150807,2
JU2015-hjut1501-Weekday-01-0001000,20150707,2
