route_long_name,route_type,agency_id,route_id,route_url,route_desc,route_short_name
Elmwood/Airport,3,RIPTA,20-55,http://www.ripta.com/20,,20
Elmwood/Airport,3,RIPTA,20-56,http://www.ripta.com/20,,20
Pontiac Avenue,3,RIPTA,22-56,http://www.ripta.com/22,,22
Pontiac Avenue,3,RIPTA,22-55,http://www.ripta.com/22,,22
Newport/URI-Kingston,3,RIPTA,64-55,http://www.ripta.com/64,,64
Newport/URI-Kingston,3,RIPTA,64-56,http://www.ripta.com/64,,64
Broadway/Hartford,3,RIPTA,28-55,http://www.ripta.com/28,,28
Broadway/Hartford,3,RIPTA,28-56,http://www.ripta.com/28,,28
Westerly Express,3,RIPTA,95-55,http://www.ripta.com/95,,95X
Westerly Express,3,RIPTA,95-56,http://www.ripta.com/95,,95X
West Bay,3,RIPTA,14-56,http://www.ripta.com/14,,14
Coventry/Arctic/Warwick Mall,3,RIPTA,13-56,http://www.ripta.com/13,,13
Coventry/Arctic/Warwick Mall,3,RIPTA,13-55,http://www.ripta.com/13,,13
West Bay,3,RIPTA,14-55,http://www.ripta.com/14,,14
Kent County,3,RIPTA,29-56,http://www.ripta.com/29,,29
Kent County,3,RIPTA,29-55,http://www.ripta.com/29,,29
Riverside,3,RIPTA,33-55,http://www.ripta.com/33,,33
Arlington/Oaklawn,3,RIPTA,30-55,http://www.ripta.com/30,,30
Arlington/Oaklawn,3,RIPTA,30-56,http://www.ripta.com/30,,30
Bellevue/Mansions/Salve Regina University,3,RIPTA,67-55,http://www.ripta.com/67,,67
Fairlawn/CCRI-Lincoln/Twin River Casino,3,RIPTA,73-55,http://www.ripta.com/73,,73
Fairlawn/CCRI-Lincoln/Twin River Casino,3,RIPTA,73-56,http://www.ripta.com/73,,73
Bellevue/Mansions/Salve Regina University,3,RIPTA,67-56,http://www.ripta.com/67,,67
Union Avenue,3,RIPTA,18-56,http://www.ripta.com/18,,18
URI-Kingston/Galilee,3,RIPTA,66-56,http://www.ripta.com/66,,66
URI-Kingston/Galilee,3,RIPTA,66-55,http://www.ripta.com/66,,66
Union Avenue,3,RIPTA,18-55,http://www.ripta.com/18,,18
Reservoir/Garden City/CCRI-Warwick,3,RIPTA,21-56,http://www.ripta.com/21,,21
Reservoir/Garden City/CCRI-Warwick,3,RIPTA,21-55,http://www.ripta.com/21,,21
Dexter Street/Lincoln Mall,3,RIPTA,75-56,http://www.ripta.com/75,,75
