stop_lat,stop_code,stop_lon,stop_id,stop_url,parent_station,stop_desc,stop_name,location_type,zone_id
41.847342,,-71.354187,055835,,,,PAWTUCKET OPP BOWEN,0,
41.805877,,-71.452174,013360,,,,LAUREL HILL NS UNION,0,
41.868901,,-71.354313,055830,,,,NEWPORT AT SLATER PARK ENTRANCE,0,
41.703761,,-71.42154,005595,,,,WEST SHORE FS MOCASSIN,0,
41.630229,,-71.246093,056830,,,,BOYDS LANE NS OLD BOYDS,0,
41.521907,,-71.299019,002295,,,,W MAIN AT MIDDLETOWN PUBLIC LIBRARY,0,
41.816356,,-71.433215,014615,,,,WESTMINSTER FS PARADE,0,
41.5178,,-71.297398,056835,,,,E MAIN AT 94 E MAIN,0,
41.816474,,-71.44433,014610,,,,PLAINFIELD OPP DIKE,0,
41.829562,,-71.449162,027245,,,,MT PLEASANT NS DOVER,0,
41.42625,,-71.467557,000095,,,,S PIER OPP 172 S PIER,0,
41.750739,,-71.47786,008720,,,,OAKLAWN OPP MILES,0,
41.425519,,-71.460099,000090,,,,BOON NS CONGDON,0,
41.887824,,-71.509582,027085,,,,ST MICHAELS WAY NS STILLWATER,0,
41.81782,,-71.421282,014925,,,,WESTMINSTER AT PROVIDENCE SCHOOL DEPT,0,
41.698509,,-71.46491,005115,,,,TOLLGATE AT 40 TOLLGATE,0,
41.487621,,-71.309434,001305,,,,BELLEVUE NS ZION,0,
41.81787,,-71.44444,014920,,,,MANTON NS DELAINE,0,
41.487185,,-71.309318,001300,,,,BELLEVUE NS CHURCH,0,
41.698841,,-71.522307,005110,,,,MAIN AT 1425 MAIN,0,
41.435296,,-71.456552,000255,,,,BOSTON NECK - NORTH BEACH SOUTH PAVILION,0,
41.835092,,-71.426411,018260,,,,CHALKSTONE FS SMITH,0,
41.841193,,-71.403338,018910,,,,CAMP NS LOCUST,0,
41.435122,,-71.456388,000250,,,,BOSTON NECK AT TOWN BEACH SOUTH PAVILION,0,
41.846231,,-71.429762,056585,,,,ADMIRAL OPP VETO,0,
41.812058,,-71.430928,014105,,,,CRANSTON NS PARADE,0,
41.926677,,-71.417666,056235,,,,MENDON NS HUNT,0,
41.793604,,-71.486724,011950,,,,PLAINFIELD AT YEOMAN,0,
41.835316,,-71.450488,018285,,,,MT PLEASANT AT 318 MT PLEASANT,0,
41.834815,,-71.567538,018280,,,,HARTFORD OPP 525 HARTFORD,0,
41.789667,,-71.396096,011555,,,,ALLENS AT 934 ALLENS,0,
41.76731,,-71.405103,009830,,,,WARWICK OPP WOBURN,0,
41.88002,,-71.368329,023090,,,,ARMISTICE AT 209 ARMISTICE,0,
41.508882,,-71.307887,001925,,,,HILLSIDE OPP DEXTER,0,
41.766992,,-71.457502,009835,,,,RESERVOIR AT CHELOS,0,
41.799178,,-71.362926,012605,,,,PAWTUCKET OPP VINCENT,0,
41.702799,,-71.398886,005370,,,,OAKLAND BEACH NS VICTORY,0,
41.885594,,-71.387106,023440,,,,BROAD NS CROSS,0,
41.788074,,-71.463148,011395,,,,CRANSTON OPP BATCHELLOR,0,
41.749567,,-71.422972,008615,,,,ELMWOOD NS POST,0,
41.788178,,-71.364553,011390,,,,PAWTUCKET NS WATERVIEW,0,
41.748899,,-71.43576,008610,,,,JEFFERSON BLVD NS MAPLE,0,
41.81624,,-71.406611,014720,,,,EDDY FS POINT,0,
41.884631,,-71.584248,023455,,,,PUTNAM PIKE AT 66 PUTNAM PIKE,0,
41.705309,,-71.265841,005680,,,,METACOM NS TUPELO,0,
41.387825,,-71.485034,057050,,,,KNOWLESWAY FS COFFEY,0,
41.387328,,-71.4858,057055,,,,POINT JUDITH FS KNOWLESWAY,0,
41.92373,,-71.481251,026000,,,,POWDER HILL FS CROWNMARK,0,
41.88025,,-71.367845,023145,,,,ARMISTICE OPP 209 ARMISTICE,0,
41.803201,,-71.452027,012950,,,,LAUREL HILL FS MAPLEWOOD,0,
41.705896,,-71.523498,005750,,,,MAIN OPP 1200 MAIN,0,
41.686403,,-71.522977,004585,,,,MAIN OPP SCHOOL,0,
41.699005,,-71.27977,005200,,,,HOPE NS JEFFERSON,0,
41.762917,,-71.473729,009585,,,,OAKLAWN OPP 435 OAKLAWN,0,
41.700128,,-71.467716,005205,,,,TOLLGATE OPP EMILY,0,
41.822326,,-71.35141,015740,,,,TAUNTON AVE OPP PARK & RIDE,0,
41.680679,,-71.449817,004370,,,,POST AT 4042 POST,0,
41.838665,,-71.43567,018600,,,,SMITH NS HILLTOP,0,
41.880909,,-71.400207,056050,,,,LONSDALE OPP PRICERITE,0,
41.83907,,-71.404099,018605,,,,CAMP FS DOYLE,0,
41.681233,,-71.278813,004375,,,,HOPE AT 889 HOPE ST,0,
41.672632,,-71.258946,004150,,,,METACOM FS WOBURN,0,
41.768307,,-71.455996,009905,,,,RESERVOIR AT 1200 RESERVOIR,0,
41.800672,,-71.470076,012775,,,,PLAINFIELD AT EVANS,0,
41.76838,,-71.439197,009900,,,,PONTIAC NS ROCKLAND,0,
41.800621,,-71.417589,012770,,,,ONTARIO STREET,0,
41.741462,,-71.479138,008185,,,,OAKLAWN FS WESTBROOK,0,
42.004061,,-71.515452,050080,,,,RAILROAD OPP 147 RAILROAD,0,
41.680266,,-71.449851,004400,,,,POST OPP 4060 POST,0,
41.82052,,-71.393771,015410,,,,GOVERNOR NS WICKENDEN,0,
41.785147,,-71.435549,011170,,,,RESERVOIR FS PRESTON,0,
41.8052,,-71.414734,058980,,,,PRAIRIE OPP SARATOGA,0,
41.814466,,-71.425921,014435,,,,CRANSTON NS DODGE,0,
41.789272,,-71.412814,058985,,,,HAWTHORNE FS TENNIS COURTS,0,
41.455159,,-71.440324,000525,,,,BOSTON NECK OPP 483 BOSTON NECK,0,
