block_id,route_id,direction_id,trip_headsign,shape_id,service_id,trip_id
b_294423,67-56,0,GATEWAY,670011,SE2015-hsem1506-Saturday-01,2127148-SE2015-hsem1506-Saturday-01
a_291037,51-55,1,CCRI-LINCOLN via CHARLES STREET,510019,JU2015-hjun1506-Saturday-01,2106897-JU2015-hjun1506-Saturday-01
a_290669,73-55,0,PAWTUCKET,730009,JU2015-hjun1501-Weekday-01,2099685-JU2015-hjun1501-Weekday-01
b_296467,11-56,1,BROAD STREET,110020,SE2015-hsep1501-Weekday-01,2145319-SE2015-hsep1501-Weekday-01
b_296329,27-56,1,CENTERDALE via GEORGE WATERMAN,270059,SE2015-hsep1501-Weekday-01,2145458-SE2015-hsep1501-Weekday-01
a_290849,1-55,1,SHAW'S (WARWICK AVENUE),10034,JU2015-hjun1506-Saturday-01,2104068-JU2015-hjun1506-Saturday-01
b_293575,56-56,1,STOP&SHOP (MANTON AVENUE),560025,SE2015-hsep1507-Sunday-01,2125274-SE2015-hsep1507-Sunday-01
b_296436,1-56,0,PAWTUCKET via HOPE,10044,SE2015-hsep1501-Weekday-01,2146022-SE2015-hsep1501-Weekday-01
a_290946,64-55,0,NEWPORT,640036,JU2015-hjum1501-Weekday-01,2105600-JU2015-hjum1501-Weekday-01
b_293266,63-56,0,GATEWAY,630033,SE2015-hsem1501-Weekday-01,2120013-SE2015-hsem1501-Weekday-01
a_290967,60-55,0,PROVIDENCE via WEST MAIN,600084,JU2015-hjum1501-Weekday-01,2105911-JU2015-hjum1501-Weekday-01
a_291011,60-55,1,NEWPORT via EAST MAIN,600078,JU2015-hjun1501-Weekday-01,2102231-JU2015-hjun1501-Weekday-01
b_296486,57-56,1,CENTERDALE via SMITH STREET,570012,SE2015-hsep1501-Weekday-01,2146745-SE2015-hsep1501-Weekday-01
b_296444,1-56,1,SHAW'S (WARWICK AVENUE),10034,SE2015-hsep1501-Weekday-01,2146057-SE2015-hsep1501-Weekday-01
a_290811,31-55,0,PROVIDENCE,310009,JU2015-hjun1506-Saturday-01,2102978-JU2015-hjun1506-Saturday-01
b_296366,31-56,1,BREWERY PARKADE,310008,SE2015-hsep1501-Weekday-01,2144752-SE2015-hsep1501-Weekday-01
b_296364,30-56,0,PROVIDENCE,300039,SE2015-hsep1501-Weekday-01,2144623-SE2015-hsep1501-Weekday-01
