service_id,start_date,end_date,monday,tuesday,wednesday,thursday,friday,saturday,sunday
2_merged_523389,20150517,20150919,0,0,0,0,0,1,0
601_merged_523386,20150517,20150919,0,0,0,0,0,0,0
601_merged_523392,20150920,20160116,0,0,0,0,0,0,0
3_merged_523388,20150517,20150919,0,0,0,0,0,0,1
801_merged_523391,20150517,20150919,0,0,0,0,0,0,0
801_merged_523397,20150920,20160116,0,0,0,0,0,0,0
2_merged_523395,20150920,20160116,0,0,0,0,0,1,0
4_merged_523396,20150920,20160116,0,0,0,0,0,0,0
5,20150517,20150919,0,0,0,0,0,0,0
4_merged_523390,20150517,20150919,0,0,0,0,0,0,0
1_merged_523387,20150517,20150919,1,1,1,1,1,0,0
3_merged_523394,20150920,20160116,0,0,0,0,0,0,1
1_merged_523393,20150920,20160116,1,1,1,1,1,0,0
