stop_lat,wheelchair_boarding,stop_code,stop_lon,stop_timezone,stop_url,parent_station,stop_desc,stop_name,location_type,stop_id,zone_id
47.718372,0,INDHOLNN,-117.462115,,,,W INDIAN TRAIL RD & W HOLYOKE AV,Indian Trail @ Holyoke,0,345,
47.72098,0,INDWOONF,-117.464736,,,,W INDIAN TRAIL RD & W WOODSIDE AV,Indian Trail @ Woodside,0,347,
47.715548,0,FRABELWN,-117.443034,,,,W FRANCIS AV & N BELT ST,Francis @ Belt,0,340,
47.715521,0,FRAALBWF,-117.450179,,,,W FRANCIS AV & N ALBERTA ST,Francis @ Alberta,0,341,
47.715538,0,FRAASTWN,-117.453831,,,,W FRANCIS AV & N A ST,Francis @ A Street,0,342,
47.715492,0,FRAINDWM,-117.457641,,,,W FRANCIS AV & W INDIAN TRAIL RD,Francis @ Indian Trail,0,343,
47.722357,0,INDWEINC,-117.466166,,,,W INDIAN TRAIL RD & W WEILE AV,Indian Trail @ Weile,0,348,
47.723833,0,INDFLENC,-117.468456,,,,W INDIAN TRAIL RD & N FLEMING ST,Indian Trail @ Fleming,0,349,
47.715325,0,FRACEDEN,-117.432472,,,,W FRANCIS AV & N CEDAR ST,Francis @ Cedar,0,2314,
47.664456,0,MONBRONF,-117.426508,,,,N MONROE ST & W BROADWAY AV,Monroe @ Broadway,0,2310,
47.668066,0,BOOMAPWN,-117.435252,,,,W BOONE AV & N MAPLE ST NB,Boone @ Maple,0,2311,
47.717501,0,5MILPR,-117.436484,,,,N ASH ST & FIVE MILE RD,5 Mile Park & Ride,0,292,
47.675004,0,ASHINDSN,-117.43709,,,,N ASH ST SB & W INDIANA AV,Ash @ Indiana,0,270,
47.670865,0,ASHMAXSN,-117.437037,,,,N ASH ST SB & W MAXWELL AV,Ash @ Maxwell,0,273,
47.66899,0,ASHSHASN,-117.437064,,,,N ASH ST SB & W SHARP AV,Ash @ Sharp,0,274,
47.678799,0,MAPNORNN,-117.435464,,,,N MAPLE ST NB & W NORTHWEST BL,Maple @ Northwest Blvd,0,275,
47.680339,0,MAPJACNN,-117.435504,,,,N MAPLE ST NB & W JACKSON AV,Maple @ Jackson,0,276,
47.682078,0,MAPCHENN,-117.435517,,,,N MAPLE ST NB & W CHELAN AV,Maple @ Chelan,0,277,
47.683455,0,MAPGRANN,-117.435306,,,,N MAPLE ST NB & W GRACE AV,Maple @ Grace,0,278,
47.671784,0,NAPMISWF,-117.381299,,,,N NAPA ST & E MISSION AV,Napa @ Mission,0,2146,
47.715127,0,NEVFRASN,-117.395401,,,,N NEVADA ST & E FRANCIS AV,Nevada @ Francis,0,642,
47.675506,0,MUKINSTE,-117.471617,,,,W FREEMONT RD & W MILITARY RD,Mukogawa Institute,0,2262,
47.675488,0,MUKSHELT,-117.471603,,,,W FREEMONT RD & W MILITARY RD,Mukogawa Institute,0,2263,
47.65736,0,RIVHEMEN,-117.444691,,,,W RIVERSIDE AV & S HEMLOCK ST,Riverside @ Hemlock (Broadmoor Apt),0,2264,
47.65727,0,PZ7,-117.422542,,,,W SPRAGUE AV & WALL ST,Plaza Zone 7,0,2265,
47.655534,0,PACHEMEN,-117.444653,,,,W PACIFIC AV & S HEMLOCK ST,Pacific @ Hemlock,0,2040,
47.657378,0,SPRAHCWN,-117.576913,,,,W SPRAGUE AV,Sprague @ Airway Heights Correction,0,2041,
47.660312,0,SPOBERWN,-117.41566,,,,W SPOKANE FALLS BL WB & N BERNARD ST,Spokane Falls Blvd @ Bernard,0,601,
47.67406,0,MISBITWN,-117.114323,,,,E MISSION AV & N BITTERROOT ST,Mission @ Bitterroot,0,3154,
47.674974,0,TREDOLEN,-117.3175,,,,E TRENT AV & N DOLLAR RD,Trent @ Dollar,0,2038,
47.686388,0,SULEUCNF,-117.196704,,,,N SULLIVAN RD & E EUCLID AV,Sullivan @ Euclid,0,1784,
47.651905,0,5THREBWN,-117.354645,,,,E 5TH AV & S REBECCA ST,5th @ Rebecca,0,2834,
47.503603,0,MCKSPOEN,-117.580739,,,,MIKE MCKEEHAN WY,McKeehan Way @ Sports Complex,0,3239,
47.693024,0,EMPNEVEN,-117.395295,,,,E EMPIRE AV & N NEVADA ST,Empire @ Nevada,0,2688,
47.69299,0,EMPADDEF,-117.402859,,,,E EMPIRE AV,Empire @ Addison,0,2686,
47.693043,0,EMPSTAEN,-117.400248,,,,E EMPIRE AV & N BELT ST,Empire @ Standard,0,2687,
47.691651,0,DRIKIENN,-117.450808,,,,N DRISCOLL BL & W KIERNAN AV,Driscoll @ Kiernan,0,91,
47.694106,0,DRIGARNF,-117.453454,,,,N DRISCOLL BL & W GARLAND AV,Driscoll @ Garland,0,93,
47.696234,0,DRIROCNN,-117.455756,,,,N DRISCOLL BL & W ROCKWELL AV,Driscoll @ Rockwell,0,95,
47.699739,0,DRIHOFNN,-117.459474,,,,N DRISCOLL BL & W HOFFMAN AV,Driscoll @ Hoffman,0,97,
47.642846,0,HWYCRAEN,-117.603698,,,,W HWY 2 HY & S CRAIG RD,Hwy 2 @ Craig,0,1623,
47.657379,0,SPRHAVWN,-117.346601,,,,E SPRAGUE AV & N HAVANA ST,Sprague @ Havana,0,1990,
47.657383,0,SPRJULWN,-117.352894,,,,E SPRAGUE AV & N JULIA ST,Sprague @ Julia,0,1992,
47.657385,0,SPFREWN,-117.357124,,,,E SPRAGUE AV & N FREYA ST,Sprague @ Freya,0,1994,
47.657386,0,SPRHAWN,-117.366696,,,,E SPRAGUE AV & N HAVEN ST,Sprague @ Haven,0,3201,
47.657407,0,SPRGREWN,-117.363628,,,,E SPRAGUE AV & N GREENE ST,Sprague @ Greene,0,1996,
47.657367,0,SPRALTWN,-117.375103,,,,E SPRAGUE AV & N ALTAMONT ST,Sprague @ Altamont,0,1999,
47.65741,0,SPRLACWN,-117.370568,,,,E SPRAGUE AV & N LACEY ST,Sprague @ Lacey,0,1998,
47.642891,0,HWYHAYEF,-117.560011,,,,W HWY 2 HY & S HAYFORD RD,Hwy 2 @ Hayford (Walmart),0,1629,
47.671605,0,MISCALEN,-117.415921,,,,W MISSION AV,Mission @ Calispel,0,3209,
47.708022,0,ROWBELEN,-117.443426,,,,W ROWAN AV & N BELT ST,Rowan @ Belt,0,3208,
