from_stop_id,to_stop_id,transfer_type,min_transfer_time
2982,2982,2,60
2982,1782,2,60
2982,2169,2,60
2982,2247,2,60
2982,2186,2,60
2982,604,2,60
2982,2133,2,60
2982,2265,2,60
2982,1633,2,60
2982,2134,2,60
2982,2100,2,60
2982,2994,2,60
2982,3088,2,60
2982,3220,2,60
1782,1782,2,60
1782,2982,2,60
1782,2169,2,60
1782,2247,2,60
1782,2186,2,60
1782,604,2,60
1782,2133,2,60
1782,2265,2,60
1782,1633,2,60
1782,2134,2,60
1782,2100,2,60
1782,2994,2,60
1782,3088,2,60
1782,3220,2,60
2169,1782,2,60
2169,2982,2,60
2169,2169,2,60
2169,2247,2,60
2169,2186,2,60
2169,604,2,60
2169,2133,2,60
2169,2265,2,60
2169,1633,2,60
2169,2134,2,60
2169,2100,2,60
2169,2994,2,60
2169,3088,2,60
2169,3220,2,60
2247,1782,2,60
2247,2982,2,60
2247,2169,2,60
2247,2247,2,60
2247,2186,2,60
2247,604,2,60
2247,2133,2,60
2247,2265,2,60
2247,1633,2,60
2247,2134,2,60
2247,2100,2,60
2247,2994,2,60
2247,3088,2,60
2247,3220,2,60
2186,1782,2,60
2186,2982,2,60
2186,2169,2,60
2186,2247,2,60
2186,2186,2,60
2186,604,2,60
2186,2133,2,60
2186,2265,2,60
2186,1633,2,60
2186,2134,2,60
2186,2100,2,60
2186,2994,2,60
2186,3088,2,60
2186,3220,2,60
604,1782,2,60
604,2982,2,60
604,2169,2,60
604,2247,2,60
604,2186,2,60
604,604,2,60
604,2133,2,60
604,2265,2,60
604,1633,2,60
604,2134,2,60
604,2100,2,60
604,2994,2,60
604,3088,2,60
604,3220,2,60
2133,1782,2,60
2133,2982,2,60
2133,2169,2,60
2133,2247,2,60
2133,2186,2,60
2133,604,2,60
2133,2133,2,60
2133,2265,2,60
2133,1633,2,60
2133,2134,2,60
2133,2100,2,60
2133,2994,2,60
2133,3088,2,60
2133,3220,2,60
2265,1782,2,60
2265,2982,2,60
2265,2169,2,60
2265,2247,2,60
2265,2186,2,60
2265,604,2,60
2265,2133,2,60
2265,2265,2,60
2265,1633,2,60
2265,2134,2,60
2265,2100,2,60
2265,2994,2,60
2265,3088,2,60
2265,3220,2,60
1633,1782,2,60
1633,2982,2,60
1633,2169,2,60
1633,2247,2,60
1633,2186,2,60
1633,604,2,60
1633,2133,2,60
1633,2265,2,60
1633,1633,2,60
1633,2134,2,60
1633,2100,2,60
1633,2994,2,60
1633,3088,2,60
1633,3220,2,60
2134,1782,2,60
2134,2982,2,60
2134,2169,2,60
2134,2247,2,60
2134,2186,2,60
2134,604,2,60
2134,2133,2,60
2134,2265,2,60
2134,1633,2,60
2134,2134,2,60
2134,2100,2,60
2134,2994,2,60
2134,3088,2,60
2134,3220,2,60
2100,1782,2,60
2100,2982,2,60
2100,2169,2,60
2100,2247,2,60
2100,2186,2,60
2100,604,2,60
2100,2133,2,60
2100,2265,2,60
2100,1633,2,60
2100,2134,2,60
2100,2100,2,60
2100,2994,2,60
2100,3088,2,60
2100,3220,2,60
2994,1782,2,60
2994,2982,2,60
2994,2169,2,60
2994,2247,2,60
2994,2186,2,60
2994,604,2,60
2994,2133,2,60
2994,2265,2,60
2994,1633,2,60
2994,2134,2,60
2994,2100,2,60
2994,2994,2,60
2994,3088,2,60
2994,3220,2,60
3088,1782,2,60
3088,2982,2,60
3088,2169,2,60
3088,2247,2,60
3088,2186,2,60
3088,604,2,60
3088,2133,2,60
3088,2265,2,60
3088,1633,2,60
3088,2134,2,60
3088,2100,2,60
3088,2994,2,60
3088,3088,2,60
3088,3220,2,60
3220,1782,2,60
3220,2982,2,60
3220,2169,2,60
3220,2247,2,60
3220,2186,2,60
3220,604,2,60
3220,2133,2,60
3220,2265,2,60
3220,1633,2,60
3220,2134,2,60
3220,2100,2,60
3220,2994,2,60
3220,3088,2,60
3220,3220,2,60
2194,1109,2,0
1866,1109,2,180
1990,1109,2,180
2194,1866,2,180
2194,1990,2,180
1732,1733,2,180
1733,1732,2,180
1866,2190,2,180
1990,2190,2,180
2205,2205,2,60
953,508,3,
508,953,3,
52,52,3,
53,53,3,
603,603,3,
2309,2309,3,
2309,71,3,
71,2309,3,
71,71,3,
72,72,3,
73,73,3,
955,955,3,
2474,506,3,
506,2474,3,
953,953,3,
508,508,3,
955,603,3,
603,955,3,
1793,1793,0,
1793,1804,0,
1804,1804,0,
1804,1793,0,
