block_id,bikes_allowed,route_id,wheelchair_accessible,direction_id,trip_headsign,shape_id,service_id,trip_id,trip_short_name
b_26734,0,5135,0,0,VTC,20926,4_merged_523396,521456,
a_26138,0,5059,0,0,SCC,20455,5,511340,
a_26139,0,5059,0,0,SCC,20455,5,511341,
a_26138,0,5059,0,0,SCC,20455,5,511342,
a_26139,0,5059,0,0,SCC,20455,5,511343,
a_26138,0,5059,0,0,SCC,20455,5,511344,
a_26139,0,5059,0,0,SCC,20455,5,511345,
a_26138,0,5059,0,0,SCC,20455,5,511346,
a_26139,0,5059,0,0,SCC,20455,5,511347,
a_26138,0,5059,0,0,SCC,20455,5,511348,
a_26139,0,5059,0,0,SCC,20455,5,511349,
b_26732,0,5135,0,0,VTC,20926,4_merged_523396,521454,
b_26657,0,5130,0,1,The Plaza,20886,1_merged_523393,520235,
a_26298,0,5056,0,0,SCC,20439,1_merged_523387,510761,
a_26297,0,5056,0,0,SCC,20439,1_merged_523387,510760,
a_26296,0,5056,0,0,SCC,20439,1_merged_523387,510763,
a_26299,0,5056,0,0,SCC,20439,1_merged_523387,510762,
a_26298,0,5056,0,0,SCC,20439,1_merged_523387,510765,
a_26297,0,5056,0,0,SCC,20439,1_merged_523387,510764,
a_26296,0,5056,0,0,SCC,20439,1_merged_523387,510767,
a_26299,0,5056,0,0,SCC,20439,1_merged_523387,510766,
a_26298,0,5056,0,0,SCC,20439,1_merged_523387,510769,
a_26297,0,5056,0,0,SCC,20439,1_merged_523387,510768,
b_26693,0,5134,0,0,Betz & 1st,20917,2_merged_523395,520979,
b_26694,0,5134,0,0,Betz & 1st,20917,2_merged_523395,520978,
b_26693,0,5134,0,0,Betz & 1st,20917,2_merged_523395,520977,
b_26694,0,5134,0,0,Betz & 1st,20917,2_merged_523395,520976,
b_26693,0,5134,0,0,Betz & 1st,20917,2_merged_523395,520975,
b_26694,0,5134,0,0,Betz & 1st,20917,2_merged_523395,520974,
b_26693,0,5134,0,0,Betz & 1st,20917,2_merged_523395,520973,
b_26694,0,5134,0,0,Betz & 1st,20917,2_merged_523395,520972,
b_26693,0,5134,0,0,Betz & 1st,20917,2_merged_523395,520971,
b_26694,0,5134,0,0,Betz & 1st,20917,2_merged_523395,520970,
a_26341,0,5067,0,0,Fairchild AFB BX,20506,1_merged_523387,512873,
a_26339,0,5067,0,0,Fairchild AFB BX,20506,1_merged_523387,512872,
a_26340,0,5067,0,0,Fairchild AFB BX,20506,1_merged_523387,512871,
